,Date,Max_Temperature,Min_Temperature,HDI,Household_Connections,Water_Consumption,Humidity,Population,Rainfall,Windspeed
2010-08-15,2010-08-15,24.336416308414297,6.481993948588382,0.6594600535239371,502348.8161682482,197168.74999558288,37.70685001060082,2960570.4846348222,0.6773958830758602,0.640111997766605
2010-08-29,2010-08-29,25.037518178316724,10.852795062900256,0.6594600535239371,502348.8161682482,198457.43814811308,35.784860958559136,2965557.2912653107,5.821553996420278,0.6410424419183113
2010-09-12,2010-09-12,25.037518178316724,10.832737462266238,0.6594600535239371,502348.8161682482,198457.43814811308,41.619669929713695,2965557.2912653107,22.124608000715146,0.6410424419183113
2010-09-26,2010-09-26,25.037518178316724,12.346707076060262,0.658732886531722,513199.2305950257,200091.9295396169,47.3356041401735,2977832.507586513,22.982143952655264,0.6412439666884966
2010-10-10,2010-10-10,25.104216683815384,13.063567064706554,0.658732886531722,513199.2305950257,201419.2153201875,52.42495943270816,2977832.507586513,75.94084984218361,0.6412439666884966
2010-10-24,2010-10-24,25.104216683815384,13.063567064706554,0.6596332210723747,513199.2305950257,202108.45867805052,59.14814138564094,2977832.507586513,107.1942896297684,0.6412439666884966
2010-11-07,2010-11-07,25.104216683815384,13.886923060362289,0.6596332210723747,513199.2305950257,202108.45867805052,59.14814138564094,2981668.512686889,152.8531583007292,0.6416422520499029
2010-11-21,2010-11-21,24.799147310299272,13.886923060362289,0.6614949672796009,513199.2305950257,201061.5964807934,63.51322769871109,2981668.512686889,203.77601684755464,0.6416422520499029
2010-12-05,2010-12-05,24.799147310299272,12.534883322592144,0.6669176507086216,513199.2305950257,201061.5964807934,63.51322769871109,2981668.512686889,206.262871108181,0.6416422520499029
2010-12-19,2010-12-19,24.20692561278336,14.342159923105925,0.6722896656135816,513199.2305950257,201045.05464020467,70.02529128258894,2988956.922377603,176.49753087899205,0.6398817197751417
2011-01-02,2011-01-02,24.20692561278336,14.342159923105925,0.6722896656135816,513199.2305950257,201045.05464020467,68.8216386615369,2988956.922377603,127.99568130626974,0.6398817197751417
2011-01-16,2011-01-16,24.735707440935265,14.274324763909384,0.672223040403144,513199.2305950257,201045.05464020467,68.8216386615369,3000848.538188769,91.86074140729944,0.6383938306530195
2011-01-30,2011-01-30,24.735707440935265,14.274324763909384,0.672223040403144,513199.2305950257,200852.06650000304,68.8216386615369,3000848.538188769,77.21761504699805,0.6383938306530195
2011-02-13,2011-02-13,24.735707440935265,13.650693737496876,0.672223040403144,505409.1894681086,202242.80643098004,65.06309883167401,3000848.538188769,125.8881407282147,0.6383938306530195
2011-02-27,2011-02-27,23.75583969665439,12.846698835798396,0.6722316159252795,505409.1894681086,203275.3010423848,62.41612258656176,3001232.138698806,131.33680406237133,0.6388385327294769
2011-03-13,2011-03-13,21.721291287831008,11.916896015875675,0.6722316159252795,505409.1894681086,203275.3010423848,62.41612258656176,3001232.138698806,110.9400858521256,0.6388385327294769
2011-03-27,2011-03-27,19.941752358218785,10.157748586619755,0.6722316159252795,513199.2305950257,203275.3010423848,67.99613226985264,3001232.138698806,53.63442724196838,0.6388385327294769
2011-04-10,2011-04-10,19.0306031313174,9.168090983920688,0.6725164457676386,513199.2305950257,202943.92009111744,62.14758876459388,3013507.355020009,32.6209999127305,0.6394016586830442
2011-04-24,2011-04-24,18.04903933932527,6.949105815430691,0.6725164457676386,513199.2305950257,202943.92009111744,60.33794549521227,3013507.355020009,7.468454876783028,0.6394016586830442
2011-05-08,2011-05-08,17.345751240631497,5.856070161049352,0.6725164457676386,510034.5263872156,203582.9212357889,54.66007725642913,3023480.968280986,19.454973513314883,0.6394016586830442
2011-05-22,2011-05-22,15.506301742557628,7.105624975000886,0.6723808300104379,510034.5263872156,203582.9212357889,49.4088135874145,3023480.968280986,19.454973513314883,0.6397055180173803
2011-06-05,2011-06-05,15.506301742557628,2.7232766310252003,0.6723808300104379,530077.6530366791,203582.9212357889,44.81802344419543,3023480.968280986,18.28911679654061,0.6397055180173803
2011-06-19,2011-06-19,15.146338245694524,5.784994566127338,0.6723808300104379,530077.6530366791,203868.9831407065,44.81802344419543,3028467.7749114744,6.415454195269945,0.6397055180173803
2011-07-03,2011-07-03,15.146338245694524,2.336681831846405,0.6724809186045055,530077.6530366791,203868.9831407065,41.93783075052605,3028467.7749114744,1.2969722183420345,0.6394174876676527
2011-07-17,2011-07-17,17.69670948347564,4.721153403423649,0.6724809186045055,530077.6530366791,203868.9831407065,41.93783075052605,3039208.589192528,2.586360807949802,0.6394174876676527
2011-07-31,2011-07-31,20.343857885350083,6.335257236491316,0.6721351413012546,530077.6530366791,203149.54435954656,37.742433786612736,3039208.589192528,2.586360807949802,0.6394174876676527
2011-08-14,2011-08-14,22.39092148012973,8.183575436944682,0.6721351413012546,530077.6530366791,203149.54435954656,37.742433786612736,3039208.589192528,0.1248007732439759,0.6406393923779409
2011-08-28,2011-08-28,23.434975419535483,9.959129965602664,0.6722316159252795,530077.6530366791,202822.04933374983,34.44011982848835,3044962.596843091,9.566108958306131,0.6406393923779409
2011-09-11,2011-09-11,24.411663868387592,10.842170536615336,0.6722316159252795,530077.6530366791,202822.04933374983,39.55113208542309,3044962.596843091,48.95746317602726,0.6406393923779409
2011-09-25,2011-09-25,25.10379981815602,11.718660361552242,0.6722316159252795,530077.6530366791,203218.05097208568,39.55113208542309,3044962.596843091,79.53246997747837,0.6416641672731381
2011-10-09,2011-10-09,25.10379981815602,12.622008245399773,0.6723473854741093,530077.6530366791,203218.05097208568,45.38624750662868,3056470.6121442188,72.33056179128172,0.6416641672731381
2011-10-23,2011-10-23,25.10379981815602,13.391720909301768,0.6723473854741093,530077.6530366791,203218.05097208568,45.38624750662868,3056470.6121442188,80.50926063951346,0.6416641672731381
2011-11-06,2011-11-06,25.01250623875472,13.391720909301768,0.6723473854741093,530077.6530366791,203339.03158110517,51.25612859165639,3065293.423875083,110.6840114748888,0.6415033762330967
